,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
240,Tommy Tremble,CAR,TE,25,17,16,0,0,0,0,0,0,0,,0,37,27,249,9.22,2,0,0,2,,,37,63.9,66.9,50.4,,47,,TremTo00
241,Travis Hunter,JAX,WR,22,7,4,0,0,0,0,0,1,0,0.00,0,45,28,298,10.64,1,1,0,1,,,36,63.8,66.8,49.8,,103,,HuntTr00
242,Brashard Smith,KAN,RB,22,17,1,0,0,0,0,0,44,151,3.43,0,35,25,172,6.88,1,1,0,1,,,38,63.3,69.3,50.8,,69,,SmitBr09
243,Davis Allen,LAR,TE,24,17,5,0,0,0,0,0,0,0,,0,33,24,208,8.67,3,0,0,3,,,39,62.8,65.8,50.8,,45,,AlleDa02
244,Greg Dulcich,MIA,TE,25,10,3,0,0,0,0,0,1,-7,-7.00,0,33,26,335,12.88,1,1,1,1,,,37,62.8,66.8,49.8,,48,,DulcGr00
245,Brian Robinson Jr.,SFO,RB,26,17,0,0,0,0,0,0,92,400,4.35,2,12,8,25,3.13,0,0,0,2,,,55,62.5,65.5,58.5,,58,,RobiBr01
246,Isaiah Likely,BAL,TE,25,14,7,0,0,0,0,0,0,0,,0,36,27,307,11.37,1,2,1,1,,,35,61.7,65.7,48.2,,50,,LikeIs00
247,Devin Neal,NOR,RB,22,10,3,0,0,0,0,0,57,206,3.61,2,19,17,104,6.12,0,0,0,2,,,43,60.0,66.0,51.5,,67,,NealDe00
248,Cedric Tillman,CLE,WR,25,13,10,0,0,0,0,0,0,0,,0,39,21,270,12.86,2,0,0,2,,,39,60.0,63.0,49.5,,97,,TillCe01
249,Daniel Bellinger,NYG,TE,25,16,10,0,0,0,0,0,0,0,,0,26,19,286,15.05,2,0,0,2,,,41,59.6,62.6,50.1,,42,,BellDa00
